"","X","Year","Company","Vineyard","Treatment","Rep","TreatmentAge","ShootCt","ClusterCt","FFNS","ShootMCane","ShootFtCane","ClusterMCane","ClusterFtCane","ShootCt.1","PreClusterCt","PostClusterCt","PercThin","FFNS.1","ShootMRow","ShootFtRow","ShootMCane.1","ShootFtCane.1","PreClMRow","PreClFtRow","PreClMCane","PreClFtCane","PostClMRow","PostClFtRow","PostClMCane","PostClFtCane","LeafN","LeafP","LeafK","LeafCa","LeafMg","LeafB","LeafCu","LeafFe","LeafMn","LeafZn","LeafNa","PetN","PetP","PetK","PetCa","PetMg","PetB","PetCu","PetFe","PetMn","PetZn","PetNa","TSS","pH","TA","ammoniaN","aaN","YAN","HarvestDate","ClusterCt.1","ClusterWt","Yield","KgMRow","LbFtRow","KgMCane","LbFtCane","ClusterMRow","ClusterFtRow","ClusterMCane.1","ClusterFtCane.1","ShootCt.2","PW","Canewt","PWMRow","PWFtRow","PWMCane","PWFtCane","ShootMRow.1","ShootFtRow.1","ShootMCane.2","ShootFtCane.2","Ravaz","anthos.std","tannins.std","phenolics.std","grid_num","ID","Y_Tavg","Y_Tmin","Y_Tmax","Y_Pr","GS_Tavg","GS_Tmin","GS_Tmax","GS_Pr","GS_Hug","GS_Gdd","DS_Pr","DS_Pr2mm","BB_Tavg","BB_Tmin","BB_Tmax","BB_Pr","BB_Tmin0C","FLO_Tavg","FLO_Tmin","FLO_Tmax","FLO_Pr","FLO_Pr2mm","FLO_Tmax35C","VER_Tavg","VER_Tmin","VER_Tmax","VER_Pr","VER_Tmax35C","H_Tavg","H_Tmin","H_Tmax","H_Pr","H_Pr2mm","H_Tmax35C","DEC_Y_Tavg","DEC_Y_Tmin","DEC_Y_Tmax","DEC_Y_Pr","DEC_GS_Tavg","DEC_GS_Tmin","DEC_GS_Tmax","DEC_GS_Pr","DEC_GS_Hug","DEC_GS_Gdd","DEC_DS_Pr","DEC_DS_Pr2mm","GS_Etp","BB_Etp","FLO_Etp","VER_Etp","H_Etp","DEC_GS_Etp","BB_B_Hu","B_V_Hu","V_H_Hu","BB_H_Hu","GS_XL_Hu","BB_B_nDays","B_V_nDays","V_H_nDays","BB_H_nDays","INI_Tavg","INI_Tmin","INI_Tmax","INI_Ra_net","INI_Pr","FLO_Ra_net","VER_Water_deficit","lon","lat","Rootstock"
"359",351,2020,"AtlasGT","GivingTree","2cls",1,2,12.25,22.55,1.84,12.25,3.71,22.55,6.83,12.1,23.5,22.6,3.83,1.87,12.1,3.69,12.1,3.69,23.5,7.16,23.5,7.16,22.6,6.89,22.6,6.89,1.83,0.135,1.32,1.53,0.265,17.3,11,60,105,29,0.007,0.42,0.053,1.76,1.15,0.738,18.7,6,22,90,61.8,0.015,27.4,3.4,6.23,67.93,34.87,102.8,44105,22.7,44.14,1,1,0.67,1,0.67,22.7,6.92,22.7,6.92,12.9,0.38,36.74,0.38,0.26,0.38,0.26,12.9,3.93,12.9,3.93,2.61,1005.916144,185.7961783,1191.712323,1572,1572,11.57614481,5.806221031,17.34606859,1033.204249,15.45683612,8.488361462,22.42531078,306.7322057,2642.256104,1227.697342,134.5797771,22,13.22267712,7.167513919,19.27784033,142.5326035,0,16.39615604,10.10046322,22.69184886,25.44525904,5,0,19.48918186,10.88304671,28.09531701,2.366429476,2,17.81796694,10.58887949,25.04705439,62.52981118,5,1,11.56213912,5.693528208,17.43075004,1175.939243,15.56194659,8.303012011,22.82088116,353.7359498,2690.639065,1237.699954,85.41833534,12.9,830.7996308,210.7990821,94.67200121,291.0678172,162.2756618,858.8340922,245.4483829,583.4615912,359.626479,1169.402261,1227.697342,67,63,46,174,16.67968059,8.959183068,24.40017812,22.64112318,3.217306043,426.2466983,288.7013877,-123.305943011014,44.8251969351899,"101_14"
"360",352,2020,"AtlasGT","GivingTree","2cls",2,2,11.5,21.55,1.87,11.5,3.48,21.55,6.53,12.1,21.8,21.4,1.83,1.77,12.1,3.69,12.1,3.69,21.8,6.65,21.8,6.65,21.4,6.52,21.4,6.52,2.09,0.139,1.29,1.77,0.242,17.9,10,63,143,27.6,0.007,0.46,0.067,2.21,1.11,0.811,18.2,4,26,150,82.3,0.013,27,3.45,7.65,68.66,54.71,123.37,44105,20.7,47.73,0.99,0.99,0.66,0.99,0.66,20.7,6.31,20.7,6.31,12.1,0.52,53.43,0.52,0.35,0.52,0.35,12.1,3.69,12.1,3.69,1.91,941.735799,143.7579618,1085.493761,1572,1572,11.57614481,5.806221031,17.34606859,1033.204249,15.45683612,8.488361462,22.42531078,306.7322057,2642.256104,1227.697342,134.5797771,22,13.22267712,7.167513919,19.27784033,142.5326035,0,16.39615604,10.10046322,22.69184886,25.44525904,5,0,19.48918186,10.88304671,28.09531701,2.366429476,2,17.81796694,10.58887949,25.04705439,62.52981118,5,1,11.56213912,5.693528208,17.43075004,1175.939243,15.56194659,8.303012011,22.82088116,353.7359498,2690.639065,1237.699954,85.41833534,12.9,830.7996308,210.7990821,94.67200121,291.0678172,162.2756618,858.8340922,245.4483829,583.4615912,359.626479,1169.402261,1227.697342,67,63,46,174,16.67968059,8.959183068,24.40017812,22.64112318,3.217306043,426.2466983,288.7013877,-123.305943011014,44.8251969351899,"101_14"
"361",353,2020,"AtlasGT","GivingTree","2cls",3,2,12.95,24.05,1.86,12.95,3.92,24.05,7.29,11.6,20.5,20,2.44,1.72,11.6,3.54,11.6,3.54,20.5,6.25,20.5,6.25,20,6.1,20,6.1,1.75,0.124,1.54,2.11,0.169,17.7,8,78,165,41.4,0.007,0.65,0.0807,2.52,1.32,0.563,17.8,4,26,183,61.6,0.01,26.2,3.3,6.75,50.12,33.85,83.97,44105,20.7,50.92,1.05,1.05,0.71,1.05,0.71,20.7,6.31,20.7,6.31,11.7,0.51,55.4,0.51,0.34,0.51,0.34,11.7,3.57,11.7,3.57,2.07,900.0185746,138.6624204,1038.680995,1572,1572,11.57614481,5.806221031,17.34606859,1033.204249,15.45683612,8.488361462,22.42531078,306.7322057,2642.256104,1227.697342,134.5797771,22,13.22267712,7.167513919,19.27784033,142.5326035,0,16.39615604,10.10046322,22.69184886,25.44525904,5,0,19.48918186,10.88304671,28.09531701,2.366429476,2,17.81796694,10.58887949,25.04705439,62.52981118,5,1,11.56213912,5.693528208,17.43075004,1175.939243,15.56194659,8.303012011,22.82088116,353.7359498,2690.639065,1237.699954,85.41833534,12.9,830.7996308,210.7990821,94.67200121,291.0678172,162.2756618,858.8340922,245.4483829,583.4615912,359.626479,1169.402261,1227.697342,67,63,46,174,16.67968059,8.959183068,24.40017812,22.64112318,3.217306043,426.2466983,288.7013877,-123.305943011014,44.8251969351899,"101_14"
"362",354,2020,"BH","Justice ","1cls",1,10,11.2,16.35,1.44,12.31,3.73,17.97,5.45,11,13.5,10.5,22.22,0.95,12.09,3.67,12.09,3.67,14.84,4.5,14.84,4.5,11.54,3.5,11.54,3.5,2.49,0.173,1.26,2.13,0.157,17.5,10,102,247,12.4,0.009,0.6,0.246,3,1.55,0.42,22.3,6,27,531,86.5,0.023,23.6,3.25,7.2,99.49,48.13,147.61,44103,10.6,36.6,0.39,0.43,0.29,0.43,0.29,11.65,3.53,11.65,3.53,10.9,0.43,39.08,0.47,0.31,0.47,0.31,11.98,3.63,11.98,3.63,0.91,1304.35475,144.1290323,1448.483782,1412,1412,11.70806789,6.238785221,17.17735056,1080.961646,15.64899994,9.059954956,22.23804493,344.047013,2664.869127,1264.78311,174.4603076,24,13.379664,7.615481632,19.14384637,165.4473716,0,16.58869187,10.66488357,22.51250016,35.01785229,6,0,19.7141066,11.71397575,27.71423745,4.004293651,2,18.17384461,11.24607542,25.1016138,66.12073023,5,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,818.9556578,209.1944447,93.02579677,284.9757448,157.895256,844.0893253,244.9671826,598.8236033,359.6491627,1188.150325,1264.78311,67,63,44,172,16.84019355,9.508762561,24.17162454,22.02198412,5.186806595,412.6233255,280.9714512,-123.149440267382,45.033901954576,"SHWM"
"363",355,2020,"BH","Justice ","1cls",2,10,11.85,19.3,1.59,13.02,3.95,21.21,6.43,11,14.3,9.7,32.17,0.88,12.09,3.67,12.09,3.67,15.71,4.77,15.71,4.77,10.66,3.23,10.66,3.23,2.75,0.158,1.21,2.25,0.22,16.9,10,106,259,12.1,0.008,0.52,0.158,3.62,1.48,0.489,21.7,5,24,685,106,0.022,23.2,3.38,6.45,140.1,63.81,203.9,44103,9,39.44,0.36,0.39,0.26,0.39,0.26,9.89,3,9.89,3,12.4,0.62,50.08,0.68,0.46,0.68,0.46,13.63,4.13,13.63,4.13,0.57,1262.637525,128.6451613,1391.282687,1412,1412,11.70806789,6.238785221,17.17735056,1080.961646,15.64899994,9.059954956,22.23804493,344.047013,2664.869127,1264.78311,174.4603076,24,13.379664,7.615481632,19.14384637,165.4473716,0,16.58869187,10.66488357,22.51250016,35.01785229,6,0,19.7141066,11.71397575,27.71423745,4.004293651,2,18.17384461,11.24607542,25.1016138,66.12073023,5,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,818.9556578,209.1944447,93.02579677,284.9757448,157.895256,844.0893253,244.9671826,598.8236033,359.6491627,1188.150325,1264.78311,67,63,44,172,16.84019355,9.508762561,24.17162454,22.02198412,5.186806595,412.6233255,280.9714512,-123.149440267382,45.033901954576,"SHWM"
"364",356,2020,"BH","Justice ","1cls",3,10,11.85,19.95,1.68,13.02,3.95,21.92,6.65,12.1,17.3,12.1,30.06,1,13.3,4.03,13.3,4.03,19.01,5.77,19.01,5.77,13.3,4.03,13.3,4.03,2.53,0.164,1.2,2.16,0.171,22.2,10,108,329,10.9,0.009,0.47,0.209,3.19,1.61,0.478,25.2,6,24,883,86.1,0.024,21.6,3.12,8.1,73.21,37.3,110.51,44103,11.7,38.29,0.45,0.49,0.33,0.49,0.33,12.86,3.9,12.86,3.9,12.2,0.39,31.89,0.43,0.29,0.43,0.29,13.41,4.07,13.41,4.07,1.15,1259.428508,132.516129,1391.944637,1412,1412,11.70806789,6.238785221,17.17735056,1080.961646,15.64899994,9.059954956,22.23804493,344.047013,2664.869127,1264.78311,174.4603076,24,13.379664,7.615481632,19.14384637,165.4473716,0,16.58869187,10.66488357,22.51250016,35.01785229,6,0,19.7141066,11.71397575,27.71423745,4.004293651,2,18.17384461,11.24607542,25.1016138,66.12073023,5,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,818.9556578,209.1944447,93.02579677,284.9757448,157.895256,844.0893253,244.9671826,598.8236033,359.6491627,1188.150325,1264.78311,67,63,44,172,16.84019355,9.508762561,24.17162454,22.02198412,5.186806595,412.6233255,280.9714512,-123.149440267382,45.033901954576,"SHWM"
"365",357,2020,"BH","Justice ","NoThin",1,10,13.35,20,1.51,14.67,4.45,21.98,6.67,13.2,15.8,15.8,0,1.2,14.51,4.4,14.51,4.4,17.36,5.27,17.36,5.27,17.36,5.27,17.36,5.27,2.39,0.197,1.06,2.22,0.153,18.2,11,97,250,12.9,0.009,0.43,0.405,2.14,1.77,0.584,21.6,7.25,22.9,752,69.2,0.0268,24,3.52,7.05,292.27,69.66,361.93,44103,15.5,35.68,0.55,0.61,0.41,0.61,0.41,17.03,5.17,17.03,5.17,13.1,0.61,46.79,0.67,0.45,0.67,0.45,14.4,4.37,14.4,4.37,0.9,1140.694869,141.5483871,1282.243256,1412,1412,11.70806789,6.238785221,17.17735056,1080.961646,15.64899994,9.059954956,22.23804493,344.047013,2664.869127,1264.78311,174.4603076,24,13.379664,7.615481632,19.14384637,165.4473716,0,16.58869187,10.66488357,22.51250016,35.01785229,6,0,19.7141066,11.71397575,27.71423745,4.004293651,2,18.17384461,11.24607542,25.1016138,66.12073023,5,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,818.9556578,209.1944447,93.02579677,284.9757448,157.895256,844.0893253,244.9671826,598.8236033,359.6491627,1188.150325,1264.78311,67,63,44,172,16.84019355,9.508762561,24.17162454,22.02198412,5.186806595,412.6233255,280.9714512,-123.149440267382,45.033901954576,"SHWM"
"366",358,2020,"BH","Justice ","NoThin",2,10,12.1,19.9,1.64,13.3,4.03,21.87,6.63,11.9,17.4,17.4,0,1.46,13.08,3.97,13.08,3.97,19.12,5.8,19.12,5.8,19.12,5.8,19.12,5.8,2.75,0.205,1.29,2.33,0.151,19.6,12,108,274,12.2,0.01,0.53,0.351,3.5,1.55,0.399,22.5,7,22,568,77.3,0.02,21.9,3.34,6.9,162.84,74.76,237.6,44103,16.9,49.17,0.83,0.91,0.61,0.91,0.61,18.57,5.63,18.57,5.63,11.8,0.64,54.07,0.7,0.47,0.7,0.47,12.97,3.93,12.97,3.93,1.3,1002.707127,157.0322581,1159.739385,1412,1412,11.70806789,6.238785221,17.17735056,1080.961646,15.64899994,9.059954956,22.23804493,344.047013,2664.869127,1264.78311,174.4603076,24,13.379664,7.615481632,19.14384637,165.4473716,0,16.58869187,10.66488357,22.51250016,35.01785229,6,0,19.7141066,11.71397575,27.71423745,4.004293651,2,18.17384461,11.24607542,25.1016138,66.12073023,5,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,818.9556578,209.1944447,93.02579677,284.9757448,157.895256,844.0893253,244.9671826,598.8236033,359.6491627,1188.150325,1264.78311,67,63,44,172,16.84019355,9.508762561,24.17162454,22.02198412,5.186806595,412.6233255,280.9714512,-123.149440267382,45.033901954576,"SHWM"
"367",359,2020,"BH","Justice ","NoThin",3,10,10.75,17.2,1.61,11.81,3.58,18.9,5.73,11.4,16,16,0,1.4,12.53,3.8,12.53,3.8,17.58,5.33,17.58,5.33,17.58,5.33,17.58,5.33,2.6,0.167,1.28,2.16,0.159,20.8,11,106,281,10,0.009,0.48,0.243,3.85,1.63,0.41,24.3,5,23,832,73.5,0.025,23.4,3.2,8.1,96.56,43.76,140.32,44103,15.8,37.66,0.6,0.65,0.44,0.65,0.44,17.36,5.27,17.36,5.27,11.3,0.53,46.99,0.58,0.39,0.58,0.39,12.42,3.77,12.42,3.77,1.12,1310.772784,155.7419355,1466.51472,1412,1412,11.70806789,6.238785221,17.17735056,1080.961646,15.64899994,9.059954956,22.23804493,344.047013,2664.869127,1264.78311,174.4603076,24,13.379664,7.615481632,19.14384637,165.4473716,0,16.58869187,10.66488357,22.51250016,35.01785229,6,0,19.7141066,11.71397575,27.71423745,4.004293651,2,18.17384461,11.24607542,25.1016138,66.12073023,5,1,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,818.9556578,209.1944447,93.02579677,284.9757448,157.895256,844.0893253,244.9671826,598.8236033,359.6491627,1188.150325,1264.78311,67,63,44,172,16.84019355,9.508762561,24.17162454,22.02198412,5.186806595,412.6233255,280.9714512,-123.149440267382,45.033901954576,"SHWM"
"368",360,2020,"Roserock","Roserock","1cls",1,9,11.15,21.5,1.93,11.2,20.6,10.9,47.09,11.2,20.6,10.9,47.09,0.97,11.2,3.41,11.2,3.41,20.6,6.28,20.6,6.28,10.9,3.32,10.9,3.32,2.55,0.143,0.725,2.71,0.234,31.6,9,92,248,9.2,0.009,0.4,0.105,0.877,1.74,0.582,24.5,5,26,504,47.7,0.02,23.6,3.25,8.93,189.53,100.41,289.94,44109,10.8,68.89,0.74,0.74,0.5,0.74,0.5,10.8,3.29,10.8,3.29,11.2,0.65,67.39,0.65,0.44,0.65,0.44,11.2,3.41,11.2,3.41,1.15,1285.100646,75.7615894,1360.862236,1356,1356,11.7477987,6.208186842,17.28741056,1089.731311,15.66548389,9.027867494,22.30310029,366.0342192,2675.654187,1268.567467,185.2706641,23,13.42674789,7.614726896,19.23876889,174.6515123,0,16.68241108,10.76794873,22.59687343,40.37452107,6,0,19.77950845,11.74350188,27.81551502,4.162926994,2,18.09830926,11.09835464,25.09826389,70.2130046,5,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,823.9932035,210.6968297,93.60570875,287.0909869,158.4291526,851.2274577,248.8960075,603.2385847,356.3256076,1192.815991,1268.567467,67,63,44,172,16.94084331,9.524540473,24.35714614,22.15140569,6.469556121,412.3062138,282.9280599,-123.114290359184,44.9809667566161,"RIPG"
"369",361,2020,"Roserock","Roserock","1cls",2,9,12.3,22.15,1.8,13,23.5,11.9,49.36,13,23.5,11.9,49.36,0.92,13,3.96,13,3.96,23.5,7.16,23.5,7.16,11.9,3.63,11.9,3.63,2.44,0.144,0.602,2.64,0.251,27.4,10,103,185,8.7,0.009,0.41,0.102,0.45,1.86,0.744,23.1,5,29,537,47.1,0.018,24.6,3.29,8.59,138.66,97.67,236.33,44109,7.4,54.59,0.4,0.4,0.27,0.4,0.27,7.4,2.26,7.4,2.26,12.9,0.69,58.24,0.69,0.46,0.69,0.46,12.9,3.93,12.9,3.93,0.59,1211.293249,100.9271523,1312.220401,1356,1356,11.7477987,6.208186842,17.28741056,1089.731311,15.66548389,9.027867494,22.30310029,366.0342192,2675.654187,1268.567467,185.2706641,23,13.42674789,7.614726896,19.23876889,174.6515123,0,16.68241108,10.76794873,22.59687343,40.37452107,6,0,19.77950845,11.74350188,27.81551502,4.162926994,2,18.09830926,11.09835464,25.09826389,70.2130046,5,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,823.9932035,210.6968297,93.60570875,287.0909869,158.4291526,851.2274577,248.8960075,603.2385847,356.3256076,1192.815991,1268.567467,67,63,44,172,16.94084331,9.524540473,24.35714614,22.15140569,6.469556121,412.3062138,282.9280599,-123.114290359184,44.9809667566161,"RIPG"
"370",362,2020,"Roserock","Roserock","1cls",3,9,11.75,21.95,1.86,13.7,23,13,43.48,13.7,23,13,43.48,0.95,13.7,4.18,13.7,4.18,23,7.01,23,7.01,13,3.96,13,3.96,2.08,0.125,0.864,2.76,0.205,28.1,10,75,185,14.2,0.012,0.42,0.101,0.691,1.91,0.596,24.8,9,32,435,45.5,0.022,24.6,3.32,8.55,154.61,123.01,277.61,44109,12.7,51.5,0.65,0.65,0.44,0.65,0.44,12.7,3.87,12.7,3.87,13.7,0.82,65.11,0.82,0.55,0.82,0.55,13.7,4.18,13.7,4.18,0.8,1310.772784,118.1456954,1428.91848,1356,1356,11.7477987,6.208186842,17.28741056,1089.731311,15.66548389,9.027867494,22.30310029,366.0342192,2675.654187,1268.567467,185.2706641,23,13.42674789,7.614726896,19.23876889,174.6515123,0,16.68241108,10.76794873,22.59687343,40.37452107,6,0,19.77950845,11.74350188,27.81551502,4.162926994,2,18.09830926,11.09835464,25.09826389,70.2130046,5,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,823.9932035,210.6968297,93.60570875,287.0909869,158.4291526,851.2274577,248.8960075,603.2385847,356.3256076,1192.815991,1268.567467,67,63,44,172,16.94084331,9.524540473,24.35714614,22.15140569,6.469556121,412.3062138,282.9280599,-123.114290359184,44.9809667566161,"RIPG"
"371",363,2020,"Roserock","Roserock","NoThin",1,9,11.3,20.9,1.85,11.3,20.9,20.9,0,11.3,20.9,20.9,0,1.85,11.3,3.45,11.3,3.45,20.9,6.37,20.9,6.37,20.9,6.37,20.9,6.37,2.34,0.154,0.751,3.02,0.253,35.2,9,94,199,10.3,0.012,0.44,0.164,0.927,1.99,0.618,25.6,7.14,26.5,399,45.5,0.0212,24.2,3.23,8.7,136.09,84.02,220.11,44109,18.9,52.75,1,1,0.67,1,0.67,18.9,5.76,18.9,5.76,11.4,0.66,65.97,0.66,0.44,0.66,0.44,11.4,3.48,11.4,3.48,1.51,1275.473594,156.5562914,1432.029886,1356,1356,11.7477987,6.208186842,17.28741056,1089.731311,15.66548389,9.027867494,22.30310029,366.0342192,2675.654187,1268.567467,185.2706641,23,13.42674789,7.614726896,19.23876889,174.6515123,0,16.68241108,10.76794873,22.59687343,40.37452107,6,0,19.77950845,11.74350188,27.81551502,4.162926994,2,18.09830926,11.09835464,25.09826389,70.2130046,5,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,823.9932035,210.6968297,93.60570875,287.0909869,158.4291526,851.2274577,248.8960075,603.2385847,356.3256076,1192.815991,1268.567467,67,63,44,172,16.94084331,9.524540473,24.35714614,22.15140569,6.469556121,412.3062138,282.9280599,-123.114290359184,44.9809667566161,"RIPG"
"372",364,2020,"Roserock","Roserock","NoThin",2,9,12.8,22.65,1.78,12.8,22.65,22.65,0,12.8,22.65,22.65,0,1.77,12.8,3.9,12.8,3.9,22.65,6.91,22.65,6.91,22.65,6.91,22.65,6.91,2.37,0.153,0.586,2.86,0.329,30.7,8,83,205,11.1,0.009,0.4,0.0925,0.356,1.69,0.829,23.9,6,23,423,43.5,0.016,24.6,3.16,9,145.96,95.6,241.56,44109,23.2,53.75,1.25,1.25,0.84,1.25,0.84,23.2,7.07,23.2,7.07,13.7,0.7,55.28,0.7,0.47,0.7,0.47,13.7,4.18,13.7,4.18,1.79,1358.908043,161.8543046,1520.762348,1356,1356,11.7477987,6.208186842,17.28741056,1089.731311,15.66548389,9.027867494,22.30310029,366.0342192,2675.654187,1268.567467,185.2706641,23,13.42674789,7.614726896,19.23876889,174.6515123,0,16.68241108,10.76794873,22.59687343,40.37452107,6,0,19.77950845,11.74350188,27.81551502,4.162926994,2,18.09830926,11.09835464,25.09826389,70.2130046,5,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,823.9932035,210.6968297,93.60570875,287.0909869,158.4291526,851.2274577,248.8960075,603.2385847,356.3256076,1192.815991,1268.567467,67,63,44,172,16.94084331,9.524540473,24.35714614,22.15140569,6.469556121,412.3062138,282.9280599,-123.114290359184,44.9809667566161,"RIPG"
"373",365,2020,"Roserock","Roserock","NoThin",3,9,10.5,24.05,1.84,10.5,24.05,24.05,0,10.5,24.05,24.05,0,2.29,10.5,3.2,10.5,3.2,24.05,7.33,24.05,7.33,24.05,7.33,24.05,7.33,2.7,0.164,0.647,2.38,0.284,42.5,11,107,219,7.9,0.009,0.43,0.104,0.33,1.74,0.869,26.3,5.45,23.4,673,41.8,0.0197,23.6,3.18,8.78,141.09,98.73,239.82,44109,22.8,57.68,1.32,1.32,0.88,1.32,0.88,22.8,6.95,22.8,6.95,12.7,0.74,65.17,0.74,0.5,0.74,0.5,12.7,3.87,12.7,3.87,1.78,1326.817871,146.6225166,1473.440387,1356,1356,11.7477987,6.208186842,17.28741056,1089.731311,15.66548389,9.027867494,22.30310029,366.0342192,2675.654187,1268.567467,185.2706641,23,13.42674789,7.614726896,19.23876889,174.6515123,0,16.68241108,10.76794873,22.59687343,40.37452107,6,0,19.77950845,11.74350188,27.81551502,4.162926994,2,18.09830926,11.09835464,25.09826389,70.2130046,5,1,11.83004455,6.271163959,17.38892515,1184.046532,15.86644679,9.022304334,22.71058924,394.2275697,2744.380196,1297.707357,106.3397003,15,823.9932035,210.6968297,93.60570875,287.0909869,158.4291526,851.2274577,248.8960075,603.2385847,356.3256076,1192.815991,1268.567467,67,63,44,172,16.94084331,9.524540473,24.35714614,22.15140569,6.469556121,412.3062138,282.9280599,-123.114290359184,44.9809667566161,"RIPG"
"374",366,2020,"DomSer","JerHill","1cls",1,8,15.75,33.4,2.13,10.36,3.15,21.97,6.68,15.9,29.6,15,49.32,0.94,10.46,3.18,10.46,3.18,19.47,5.92,19.47,5.92,9.87,3,9.87,3,2.48,0.423,1.01,2.3,0.218,42.7,9,83,170,20.4,0.008,0.42,0.46,1.9,1.81,0.575,28.4,6,104,311,54.1,0.025,23,3.5,6.15,79.34,53.87,133.21,44110,15.5,80.39,1.25,0.82,0.55,0.82,0.55,10.2,3.1,10.2,3.1,16.3,0.77,55.09,0.51,0.34,0.51,0.34,10.72,3.26,10.72,3.26,1.62,864.7193847,159.7183099,1024.437695,1303,1303,11.9770581,6.303425288,17.65069091,957.6442886,15.8148792,9.007692102,22.6220663,281.6972698,2738.911202,1296.465137,136.1347331,20,13.40699469,7.524468531,19.28952084,132.5244577,0,16.9909111,10.92260638,23.05921582,29.09584554,6,0,19.84051849,11.64344805,28.03758893,2.877630449,4,18.35532916,11.06361224,25.64704609,54.40545361,4,1,12.10019369,6.428065959,17.77232143,1078.407926,16.06806702,9.07833945,23.05779458,343.1925078,2823.170141,1335.047993,86.48647041,12.6,835.6978462,206.4321678,95.22151503,292.4574566,164.623344,864.4133656,248.4187722,611.7671637,367.6344832,1206.798503,1296.465137,66,63,44,171,17.09716773,9.480792717,24.71354275,22.43173048,2.046174288,417.7192135,289.5798261,-123.095906588567,45.081411793479,"101_14"
"375",367,2020,"DomSer","JerHill","1cls",2,8,15.4,30.2,1.97,10.13,3.08,19.87,6.04,16.3,31.3,14.5,53.67,0.89,10.72,3.26,10.72,3.26,20.59,6.26,20.59,6.26,9.54,2.9,9.54,2.9,2.18,0.464,1.24,2.24,0.291,49,10,72,159,20.5,0.008,0.42,0.53,2.3,1.9,0.568,29.1,7,36,238,48.8,0.023,22.9,3.58,5.63,62.85,20.16,83.01,44110,15.6,86.09,1.34,0.88,0.59,0.88,0.59,10.26,3.12,10.26,3.12,15.3,0.58,44.1,0.38,0.26,0.38,0.26,10.07,3.06,10.07,3.06,2.32,928.89973,145.6338028,1074.533533,1303,1303,11.9770581,6.303425288,17.65069091,957.6442886,15.8148792,9.007692102,22.6220663,281.6972698,2738.911202,1296.465137,136.1347331,20,13.40699469,7.524468531,19.28952084,132.5244577,0,16.9909111,10.92260638,23.05921582,29.09584554,6,0,19.84051849,11.64344805,28.03758893,2.877630449,4,18.35532916,11.06361224,25.64704609,54.40545361,4,1,12.10019369,6.428065959,17.77232143,1078.407926,16.06806702,9.07833945,23.05779458,343.1925078,2823.170141,1335.047993,86.48647041,12.6,835.6978462,206.4321678,95.22151503,292.4574566,164.623344,864.4133656,248.4187722,611.7671637,367.6344832,1206.798503,1296.465137,66,63,44,171,17.09716773,9.480792717,24.71354275,22.43173048,2.046174288,417.7192135,289.5798261,-123.095906588567,45.081411793479,"101_14"
